date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-12-15,31959342.689357944,-8907.287967497017,31968249.97732544,18414.900390625,-3.2864997941268848,20
2022-12-16,31654873.980705447,-8907.287967497017,31663781.268672943,18269.0,-4.207865255336762,20
2022-12-19,32090502.243223377,-8907.287967497017,32099409.531190872,18420.44921875,-2.889592396404006,20
2022-12-20,32457405.130455203,-8907.287967497017,32466312.4184227,18385.30078125,-1.7792922627392849,20
2022-12-21,31119976.06417293,-8907.287967497017,31128883.352140427,18199.099609375,-5.826542155657211,20
2022-12-22,30075287.877187915,-8907.287967497017,30084195.16515541,18127.349609375,-8.987916661043771,20
2022-12-23,28063190.482698627,-8907.287967497017,28072097.770666122,17806.80078125,-15.0768085280525,20
2022-12-26,29805382.800640292,-8907.287967497017,29814290.088607788,18014.599609375,-9.804687673200618,20
2022-12-27,30172542.38503284,-8907.287967497017,30181449.673000336,18132.30078125,-8.693610737548841,20
2022-12-28,30309963.506424136,-8907.287967497017,30318870.794391632,18122.5,-8.27775494911318,20
2022-12-29,30744425.380510516,-8907.287967497017,30753332.668478012,18191.0,-6.963011746873016,20
2022-12-30,30710574.403747745,-8907.287967497017,30719481.69171524,18105.30078125,-7.0654495998644595,20
2023-01-02,30886925.673481893,2856052.5779695017,28030873.09551239,18197.44921875,-6.531785665423817,18
2023-01-03,31024509.92628951,2856052.5779695017,28168457.348320007,18232.55078125,-6.115436218203641,18
2023-01-04,30800889.974614095,2856052.5779695017,27944837.396644592,18042.94921875,-6.792141883041958,18
2023-01-05,30822276.50819869,2856052.5779695017,27966223.930229187,17992.150390625,-6.727423201548999,18
2023-01-06,30585187.651539754,2856052.5779695017,27729135.07357025,17859.44921875,-7.444887681659528,18
2023-01-09,30700547.799199056,2856052.5779695017,27844495.221229553,18101.19921875,-7.095791526183448,18
2023-01-10,30277045.507611226,2856052.5779695017,27420992.929641724,17914.150390625,-8.377369478608166,18
2023-01-11,30255645.15186019,2856052.5779695017,27399592.573890686,17895.69921875,-8.442129987935632,18
2023-01-12,30324525.57776351,2856052.5779695017,27468472.999794006,17858.19921875,-8.233688057526345,18
2023-01-13,30351595.07858367,2856052.5779695017,27495542.500614166,17956.599609375,-8.151771911797379,18
2023-01-16,30237621.81243224,2856052.5779695017,27381569.234462738,17894.849609375,-8.496671167283964,18
2023-01-17,30208190.186516713,2856052.5779695017,27352137.60854721,18053.30078125,-8.585735438308173,18
2023-01-18,30520519.180199575,2856052.5779695017,27664466.602230072,18165.349609375,-7.640583640649146,18
2023-01-19,30370893.33809371,2856052.5779695017,27514840.760124207,18107.849609375,-8.09337264360096,18
2023-01-20,30519964.65392394,2856052.5779695017,27663912.075954437,18027.650390625,-7.642261715745812,18
2023-01-23,30373385.166554403,2856052.5779695017,27517332.5885849,18118.55078125,-8.085832017540884,18
